[20897016] 13: [0, 13, 255, 1, 255, 14381585] gtir [256, 4, 2]
[52817252] 13: [0, 13, 255, 1, 255, 11719437] gtir [256, 4, 2]
[70600432] 13: [0, 13, 255, 1, 255, 8898811] gtir [256, 4, 2]
[107224960] 13: [0, 13, 255, 1, 255, 10586411] gtir [256, 4, 2]
[126929531] 13: [0, 13, 255, 1, 255, 8137598] gtir [256, 4, 2]
[134313405] 13: [0, 13, 255, 1, 255, 7010396] gtir [256, 4, 2]
[146034013] 13: [0, 13, 255, 1, 255, 3024658] gtir [256, 4, 2]
[178572688] 13: [0, 13, 255, 1, 255, 1963901] gtir [256, 4, 2]
[208026250] 13: [0, 13, 255, 1, 255, 98451] gtir [256, 4, 2]
[233577790] 13: [0, 13, 255, 1, 255, 13041999] gtir [256, 4, 2]
[246036383] 13: [0, 13, 255, 1, 255, 6039324] gtir [256, 4, 2]
[250330186] 13: [0, 13, 255, 1, 255, 7324149] gtir [256, 4, 2]
[256309637] 13: [0, 13, 255, 1, 255, 2160018] gtir [256, 4, 2]
[272418848] 13: [0, 13, 255, 1, 255, 11272811] gtir [256, 4, 2]
[274659922] 13: [0, 13, 255, 1, 255, 5823639] gtir [256, 4, 2]
[285463846] 13: [0, 13, 255, 1, 255, 13370989] gtir [256, 4, 2]
[287548204] 13: [0, 13, 255, 1, 255, 13419073] gtir [256, 4, 2]
[302574807] 13: [0, 13, 255, 1, 255, 16229158] gtir [256, 4, 2]
[327166594] 13: [0, 13, 255, 1, 255, 5960745] gtir [256, 4, 2]
[327791735] 13: [0, 13, 255, 1, 255, 9040536] gtir [256, 4, 2]
[337483671] 13: [0, 13, 255, 1, 255, 3425452] gtir [256, 4, 2]
[353238885] 13: [0, 13, 255, 1, 255, 3988296] gtir [256, 4, 2]
[434613306] 13: [0, 13, 255, 1, 255, 16029275] gtir [256, 4, 2]
[451397566] 13: [0, 13, 255, 1, 255, 13834737] gtir [256, 4, 2]
[462026105] 13: [0, 13, 255, 1, 255, 3598508] gtir [256, 4, 2]
[466078375] 13: [0, 13, 255, 1, 255, 6171828] gtir [256, 4, 2]
[528337625] 13: [0, 13, 255, 1, 255, 6302818] gtir [256, 4, 2]
[558387193] 13: [0, 13, 255, 1, 255, 2141286] gtir [256, 4, 2]
[562986231] 13: [0, 13, 255, 1, 255, 12105926] gtir [256, 4, 2]
[611504002] 13: [0, 13, 255, 1, 255, 11483235] gtir [256, 4, 2]
[678345985] 13: [0, 13, 255, 1, 255, 3876872] gtir [256, 4, 2]
[785535584] 13: [0, 13, 255, 1, 255, 13821285] gtir [256, 4, 2]
